seri_no,ram_gb,kamera_mp,ekran_boyutu,batarya_mah,storage_gb,cihaz_fiyat,cikis_yili,cihaz_durum_puan,segment_puan,cihaz_model
9,4.0,12.0,5.4,2406.0,256.0,30899,2021.0,2,1,13.0
9,4.0,12.0,6.1,3227.0,128.0,30999,2021.0,2,2,13.0
8,6.0,12.0,6.1,2815.0,128.0,31149,2020.0,2,4,12.0
9,4.0,12.0,6.1,3227.0,128.0,31299,2021.0,3,2,13.0
8,6.0,12.0,6.1,2815.0,128.0,31599,2020.0,1,4,12.0
9,4.0,12.0,6.1,3227.0,128.0,31599,2021.0,4,2,13.0
8,6.0,12.0,6.1,2815.0,128.0,31899,2020.0,2,4,12.0
8,6.0,12.0,6.1,2815.0,128.0,31949,2020.0,3,4,12.0
8,6.0,12.0,6.1,2815.0,128.0,32249,2020.0,4,4,12.0
8,6.0,12.0,6.1,2815.0,512.0,32299,2020.0,2,4,12.0
8,6.0,12.0,6.1,2815.0,256.0,32349,2020.0,1,4,12.0
8,6.0,12.0,6.7,3687.0,128.0,32499,2020.0,1,5,12.0
8,6.0,12.0,6.1,2815.0,256.0,32649,2020.0,2,4,12.0
8,6.0,12.0,6.1,2815.0,128.0,32699,2020.0,3,4,12.0
8,6.0,12.0,6.1,2815.0,128.0,32999,2020.0,4,4,12.0
8,6.0,12.0,6.7,3687.0,128.0,32999,2020.0,2,5,12.0
9,4.0,12.0,5.4,2406.0,512.0,32999,2021.0,4,1,13.0
8,6.0,12.0,6.1,2815.0,256.0,33099,2020.0,1,4,12.0
8,6.0,12.0,6.1,2815.0,256.0,33399,2020.0,2,4,12.0
8,6.0,12.0,6.7,3687.0,128.0,33399,2020.0,2,5,12.0
8,6.0,12.0,6.7,3687.0,128.0,33499,2020.0,3,5,12.0
8,6.0,12.0,6.1,2815.0,256.0,34699,2020.0,3,4,12.0
8,6.0,12.0,6.1,2815.0,256.0,34999,2020.0,4,4,12.0
8,6.0,12.0,6.1,2815.0,512.0,35349,2020.0,1,4,12.0
9,4.0,12.0,6.1,3227.0,256.0,36299,2021.0,1,2,13.0
8,6.0,12.0,6.1,2815.0,512.0,36399,2020.0,2,4,12.0
8,6.0,12.0,6.7,3687.0,256.0,36399,2020.0,3,5,12.0
8,6.0,12.0,6.7,3687.0,128.0,36499,2020.0,1,5,12.0
8,6.0,12.0,6.7,3687.0,256.0,36499,2020.0,4,5,12.0
8,6.0,12.0,6.1,2815.0,512.0,36749,2020.0,4,4,12.0
8,6.0,12.0,6.7,3687.0,128.0,36749,2020.0,3,5,12.0
9,4.0,12.0,6.1,3227.0,256.0,36899,2021.0,3,2,13.0
8,6.0,12.0,6.7,3687.0,128.0,36999,2020.0,2,5,12.0
8,6.0,12.0,6.1,2815.0,512.0,37199,2020.0,3,4,12.0
9,4.0,12.0,6.1,3227.0,256.0,37199,2021.0,4,2,13.0
8,6.0,12.0,6.7,3687.0,128.0,37249,2020.0,4,5,12.0
9,4.0,12.0,6.1,3227.0,256.0,37299,2021.0,1,2,13.0
8,6.0,12.0,6.7,3687.0,128.0,37499,2020.0,3,5,12.0
9,4.0,12.0,6.1,3227.0,256.0,37599,2021.0,2,2,13.0
9,4.0,12.0,6.1,3227.0,256.0,37899,2021.0,3,2,13.0
9,4.0,12.0,6.1,3227.0,512.0,38099,2021.0,1,2,13.0
9,4.0,12.0,6.1,3227.0,256.0,38199,2021.0,4,2,13.0
8,6.0,12.0,6.7,3687.0,256.0,38249,2020.0,1,5,12.0
10,6.0,12.0,6.7,4325.0,128.0,38399,2022.0,2,3,14.0
9,4.0,12.0,6.1,3227.0,512.0,38699,2021.0,3,2,13.0
8,6.0,12.0,6.7,3687.0,256.0,38749,2020.0,2,5,12.0
8,6.0,12.0,6.7,3687.0,512.0,38899,2020.0,3,5,12.0
8,6.0,12.0,6.7,3687.0,256.0,38999,2020.0,1,5,12.0
10,6.0,12.0,6.1,3279.0,128.0,39099,2022.0,1,2,14.0
8,6.0,12.0,6.7,3687.0,256.0,39249,2020.0,3,5,12.0
10,6.0,12.0,6.1,3279.0,128.0,39399,2022.0,2,2,14.0
8,6.0,12.0,6.7,3687.0,256.0,39499,2020.0,2,5,12.0
9,4.0,12.0,6.1,3227.0,512.0,39699,2021.0,3,2,13.0
8,6.0,12.0,6.7,3687.0,256.0,39999,2020.0,3,5,12.0
